timestamp,bpm,sdnn,rmssd,pnn50,label
1773755486.953992,71.53,48.48,50.57,17.76,0
1773755486.9804125,76.72,53.3,55.02,18.26,0
1773755486.9944053,69.45,41.79,52.08,14.9,0
1773755487.0094297,74.39,60.28,41.02,13.27,0
1773755487.043558,72.97,70.3,46.0,13.23,0
1773755487.0555463,69.86,61.98,44.78,12.82,0
1773755487.1105754,70.82,42.31,54.85,13.8,0
1773755487.123563,67.11,54.78,53.23,14.67,0
1773755487.173476,69.85,61.22,50.25,16.99,0
1773755487.1984956,70.93,55.54,43.59,14.03,0
1773755487.2375555,70.64,56.46,51.63,11.17,0
1773755487.3159902,73.98,56.61,54.46,12.95,0
1773755487.340741,78.38,47.89,32.94,19.42,0
1773755487.355416,73.31,48.0,49.08,15.83,0
1773755487.3872874,72.23,74.03,52.84,10.92,0
1773755487.4003856,68.48,66.88,52.17,17.96,0
1773755487.449062,62.95,35.88,30.54,13.29,0
1773755487.4681797,72.25,63.03,47.13,11.95,0
1773755487.5095425,73.7,61.27,45.2,13.38,0
1773755487.5298717,70.91,49.08,39.12,13.79,0
1773755487.5758607,68.43,58.22,42.01,18.31,0
1773755487.6063972,75.45,53.78,46.26,19.84,0
1773755487.660234,75.45,65.31,37.92,12.95,0
1773755487.6774795,79.16,56.36,43.63,12.3,0
1773755487.7215676,73.25,69.56,42.47,20.84,0
1773755487.7355556,73.88,60.06,51.33,19.88,0
1773755487.7780082,75.49,62.67,51.7,16.62,0
1773755487.7893562,76.85,52.22,52.98,17.96,0
1773755487.8477094,73.9,66.03,50.46,9.0,0
1773755487.8685544,67.58,61.4,40.55,17.02,0
1773755487.9137106,76.83,64.54,42.87,18.44,0
1773755487.9273791,72.73,59.56,40.32,9.91,0
1773755487.9692287,68.04,54.69,40.31,13.55,0
1773755487.9822423,71.35,41.93,42.08,11.57,0
1773755488.0505917,76.95,73.78,39.36,19.04,0
1773755488.07236,70.02,60.57,38.52,15.06,0
1773755488.1178367,71.15,60.67,39.52,19.79,0
1773755488.1332877,76.53,47.51,47.57,16.82,0
1773755488.1849666,69.62,52.54,38.41,20.23,0
1773755488.2025833,76.99,49.11,38.17,14.53,0
1773755488.2457972,69.43,48.53,36.12,16.01,0
1773755488.256793,76.16,54.82,47.21,14.63,0
1773755488.3141887,71.9,41.3,46.43,12.05,0
1773755488.339579,73.76,57.16,39.78,14.44,0
1773755488.3810346,68.55,58.45,34.37,13.24,0
1773755488.39703,73.52,47.42,48.17,13.92,0
1773755488.4587798,73.35,52.8,38.26,15.83,0
1773755488.4747794,69.56,49.05,48.87,12.71,0
1773755488.524153,76.77,58.58,47.35,13.62,0
1773755488.5420585,81.09,60.97,47.52,18.33,0
1773755488.5876634,70.04,57.4,50.01,11.67,0
1773755488.6059167,70.78,46.79,42.39,14.43,0
1773755488.6508024,72.89,47.63,39.01,17.49,0
1773755488.6671317,71.05,58.36,53.9,14.87,0
1773755488.7126677,67.59,52.12,48.58,18.19,0
1773755488.7254632,77.89,61.79,53.86,13.05,0
1773755488.7780986,64.74,42.4,37.9,15.45,0
1773755488.7941942,79.05,58.35,52.41,14.09,0
1773755488.8579593,73.43,62.02,40.18,15.03,0
1773755488.8774872,71.28,63.82,43.95,15.66,0
1773755488.9218645,65.12,70.82,39.66,10.4,0
1773755488.9471126,73.34,48.2,41.56,18.49,0
1773755488.9865794,79.46,37.41,42.11,15.56,0
1773755489.0105977,71.54,55.21,36.16,16.14,0
1773755489.0485363,70.22,63.24,36.26,17.68,0
1773755489.0626235,72.02,55.06,47.39,16.66,0
