timestamp,bpm,sdnn,rmssd,pnn50,label
0,77.8,64.86,60.55,23.86,0
1,77.08,58.91,64.1,30.21,0
2,69.77,70.17,72.59,27.68,0
3,75.06,67.2,59.97,22.22,0
4,80.18,72.92,65.22,26.49,0
5,73.71,54.89,76.7,22,0
6,67.11,65.82,74.63,22.95,0
7,82.56,58.07,55.71,24.9,0
8,81.94,66.98,69.03,26.4,0
9,77.76,70.99,62.83,24.76,0
10,78.03,78.69,62.41,18.57,0
11,75.05,89.1,54.47,22.2,0
12,73.89,73.88,58.32,19.64,0
13,76.7,70.47,59.54,28.02,0
14,81.06,71.93,63.62,19.97,0
15,77.37,83.06,63.1,24.29,0
16,71.02,74.2,60.78,20.67,0
17,75.59,72.4,55.54,24.58,0
18,76.29,81.96,66.76,22.15,0
19,73.91,78.83,67.7,22.23,0
20,81.35,58.64,53.84,18.24,0
21,77.23,68.17,76.78,23.02,0
22,73.21,71.81,71.37,28.14,0
23,76.94,75.27,66.53,25.67,0
24,73.16,77.07,72.45,18.44,0
25,70.61,80.95,69.34,24.06,0
26,74.38,75.11,68.53,30.38,0
27,71.57,64.67,80.04,31.44,0
28,79.86,74.5,63.84,32.23,0
29,76.77,80.59,67.25,27.78,0
30,74.04,80.71,70.07,30.61,0
31,78.2,68.79,72.29,28.33,0
32,79.97,71.41,56.42,25.17,0
33,70.07,70.87,61.52,26.82,0
34,71.01,81.33,57.99,17.95,0
35,74.42,88.32,68.82,35.02,0
36,73.55,76.57,68.93,22.22,0
37,72.8,72.34,71.12,25.56,0
38,76.55,80.34,70.18,20.32,0
39,68.38,80.98,61.35,25.62,0
40,71.85,72.83,59.75,23.01,0
41,76.21,85.51,66.16,26.26,0
42,69.49,79.38,61.32,27.54,0
43,78.64,76.78,67.04,30.3,0
44,76.48,78.84,71.59,28.72,0
45,73.8,91.69,72.22,21.39,0
46,76.72,68.87,63.6,28.74,0
47,69.25,69.82,70.45,28.21,0
48,75.45,93.52,64.92,23.98,0
49,73.77,74.06,55.34,26.08,0
50,78.25,83.04,56.7,24.02,0
51,73.6,69.41,66.44,24.6,0
52,76.03,72.06,69.75,30.18,0
53,74.97,70.99,70.3,31.42,0
54,72.38,77.6,65.7,18.24,0
55,71.5,75.31,72.76,27.91,0
56,72.21,74.37,73.34,29.52,0
57,74.09,70.01,67.97,15.37,0
58,79.92,59.29,63.58,22.98,0
59,75.4,80.39,64.83,32.77,0
60,71.46,76.7,53.02,20.11,0
61,79,76.13,64.89,25.93,0
62,83.64,70.7,53.8,23.63,0
63,78.83,82.65,67.01,27.89,0
64,64.19,64.94,67.76,22.21,0
65,69.09,66.62,69.3,25.01,0
66,76.13,71.68,57.43,27.24,0
67,76.27,87.35,61.82,22.66,0
68,72.54,83.03,72.15,27.41,0
69,69.07,74.59,55.36,24.37,0
70,73.33,59.19,68.53,20.68,0
71,78.75,78.35,49.67,24.74,0
72,74.42,77.76,64.85,23.24,0
73,79.4,80.6,61.84,26.61,0
74,74.21,72.58,72.5,32.25,0
75,73.67,67.41,67.6,20.48,0
76,73.1,88.31,74.84,25.83,0
77,75.09,84.14,70.05,27.31,0
78,74.33,74.09,55.12,24.16,0
79,68.49,82.86,58.12,24.3,0
80,78.95,64.8,63.9,22.27,0
81,74.67,77.28,74.92,28.69,0
82,75.58,68.95,76.59,26.73,0
83,75.96,80.77,60.58,28.2,0
84,74.75,93.33,60.18,31.41,0
85,71.31,76.31,71.54,20.36,0
86,76.04,76.23,63.25,26.25,0
87,74.46,102.63,57.34,18.76,0
88,77.64,80.25,66.57,25.74,0
89,68.4,66.37,69.97,26.78,0
90,73.98,59.24,75.31,15.56,0
91,67.13,72.89,70.36,19.94,0
92,71.22,64.33,68.32,19.72,0
93,77.91,79.63,68.57,23.53,0
94,69.15,73.97,80.37,17.94,0
95,67.15,73,56.42,29.97,0
96,71.09,71.91,76.69,26.9,0
97,72.4,76.97,70.31,22.65,0
98,74.95,75.23,63.97,21.19,0
99,79.09,56.3,66.46,25.05,0
100,75.14,75.55,57.43,29.88,0
101,74.04,88.22,61.22,27.36,0
102,71.88,75.47,63.82,23.34,0
103,77.87,66.69,59.05,27.12,0
104,68.69,71.47,61.04,21.88,0
105,75.22,76.5,53.99,22.69,0
106,79.18,81.38,58.78,24.81,0
107,78.17,54.69,79.83,20.45,0
108,78.79,79.8,58.84,24.77,0
109,81.79,62.25,64.71,23.79,0
110,82.05,90.22,58.96,34.79,0
111,74.15,65.58,42.34,25.68,0
112,74.12,71.87,48.31,26.07,0
113,67.28,65.07,62.15,25.7,0
114,78.53,61.86,63.83,27.24,0
115,68.1,68.74,68.78,25.08,0
116,70.23,82.35,69.15,24.07,0
117,72.25,87.26,58.01,31.62,0
118,69.53,66.1,76.96,18.79,0
119,71.7,89.17,59.88,21.09,0
120,86.6,74.03,60.81,27.99,0
121,78.31,75.59,70.25,32.13,0
122,71.96,75.74,67.34,17.46,0
123,79.57,75.01,74.41,17.39,0
124,71.03,61.59,75.66,26.42,0
125,86.6,59.86,57.88,23.18,0
126,72.71,70.74,63.95,21.84,0
127,78.28,67.86,58.54,33.31,0
128,73.36,69.32,64.42,27.87,0
129,71.81,73.23,66.62,31.25,0
130,86.56,55.56,56.55,26.11,0
131,76.08,72.92,59.74,23.39,0
132,77.39,79.38,59.59,28.17,0
133,72.51,91.97,55.34,24.04,0
134,74.46,79.83,66.41,26.04,0
135,67.96,59.13,69.11,25.36,0
136,74.93,59.74,65.63,27.53,0
137,74.11,89.37,70.73,21.87,0
