timestamp,bpm,sdnn,rmssd,pnn50,label
2024-01-01 08:00:00,103.7,53.61,45.85,14.1,1
2024-01-01 08:00:05,68.51,86.98,64.83,24.44,0
2024-01-01 08:00:10,79.07,61.18,77.18,20.88,0
2024-01-01 08:00:15,74.75,63.82,51.43,21.6,0
2024-01-01 08:00:20,103.52,46.88,45.61,12.6,1
2024-01-01 08:00:25,95.63,50.24,49.27,10.85,1
2024-01-01 08:00:30,74.99,89.11,58.16,26.29,0
2024-01-01 08:00:35,93.7,56.62,47.87,11.04,1
2024-01-01 08:00:40,74.9,71.03,58.49,25.38,0
2024-01-01 08:00:45,92.94,44.64,41.01,12.34,1
2024-01-01 08:00:50,95.42,48.11,41.3,9.69,1
2024-01-01 08:00:55,73.35,67.64,58.16,28.78,0
2024-01-01 08:01:00,98.84,49.25,47.87,3.12,1
2024-01-01 08:01:05,106.61,46.63,46.06,12.72,1
2024-01-01 08:01:10,97.15,63.0,45.45,14.59,1
2024-01-01 08:01:15,72.1,78.74,71.96,30.58,0
2024-01-01 08:01:20,73.37,64.99,71.21,31.39,0
2024-01-01 08:01:25,107.39,50.3,44.02,11.1,1
2024-01-01 08:01:30,102.02,48.12,46.09,14.34,1
2024-01-01 08:01:35,78.3,71.73,66.66,18.61,0
2024-01-01 08:01:40,75.48,67.54,59.54,24.98,0
2024-01-01 08:01:45,101.78,46.47,50.19,8.6,1
2024-01-01 08:01:50,95.88,46.4,43.62,8.19,1
2024-01-01 08:01:55,101.67,60.73,56.01,6.57,1
2024-01-01 08:02:00,79.21,84.94,70.88,23.11,0
2024-01-01 08:02:05,98.01,56.11,55.01,8.88,1
2024-01-01 08:02:10,72.41,83.81,65.9,25.91,0
2024-01-01 08:02:15,71.1,68.94,62.21,19.06,0
2024-01-01 08:02:20,75.88,78.05,72.02,32.74,0
2024-01-01 08:02:25,75.81,86.0,74.68,26.37,0
2024-01-01 08:02:30,80.48,72.92,79.24,27.09,0
2024-01-01 08:02:35,79.01,83.15,67.79,34.02,0
2024-01-01 08:02:40,101.62,64.14,47.01,8.11,1
2024-01-01 08:02:45,74.27,64.88,67.49,28.97,0
2024-01-01 08:02:50,74.65,85.81,75.98,19.73,0
2024-01-01 08:02:55,74.11,71.18,67.58,29.28,0
2024-01-01 08:03:00,71.79,49.2,66.06,25.13,0
2024-01-01 08:03:05,98.79,53.67,45.25,10.27,1
2024-01-01 08:03:10,93.93,50.77,48.35,11.82,1
2024-01-01 08:03:15,96.04,51.66,43.66,6.49,1
2024-01-01 08:03:20,75.68,74.7,85.46,22.15,0
2024-01-01 08:03:25,73.75,76.32,68.42,24.9,0
2024-01-01 08:03:30,75.08,67.14,61.15,26.58,0
2024-01-01 08:03:35,95.62,54.66,48.83,11.75,1
2024-01-01 08:03:40,86.6,57.46,37.7,5.07,1
2024-01-01 08:03:45,72.9,91.91,63.3,21.79,0
2024-01-01 08:03:50,95.09,52.19,43.48,12.32,1
2024-01-01 08:03:55,71.84,82.22,71.12,27.25,0
2024-01-01 08:04:00,98.0,52.54,39.05,6.35,1
2024-01-01 08:04:05,94.16,51.72,45.81,12.47,1
2024-01-01 08:04:10,75.71,65.65,74.82,26.53,0
