timestamp,bpm,sdnn,rmssd,pnn50,label
1773927634,96.69,53.62,45.09,15.96,1
1773927498,80.93,71.8,73.2,27.7,0
1773927545,77.95,69.98,76.33,24.87,0
1773927352,74.92,81.65,61.59,27.04,0
1773927617,98.92,55.85,44.15,14.98,1
1773927661,97.01,63.84,44.52,13.56,1
1773927377,81.3,78.16,65.44,19.38,0
1773927675,96.68,59.46,46.33,6.24,1
1773927605,86.46,71.48,67.12,22.58,0
1773927620,96.22,58.13,49.96,7.34,1
1773927706,96.05,57.41,45.46,12.17,1
1773927536,77.74,66.66,64.65,26.01,0
1773927719,95.58,57.83,47.51,9.16,1
1773927824,95.89,57.82,37.88,10.37,1
1773927631,97.35,57.81,36.74,7.66,1
1773927447,75.29,69.39,60.63,25.71,0
1773927526,79.78,76.19,57.48,27.23,0
1773927626,93.15,66.09,46.02,9.21,1
1773927725,94.31,55.51,36.49,12.35,1
1773927510,80.15,70.3,61.19,19.1,0
1773927572,68.49,71.19,61.19,23.24,0
1773927669,96.25,57.18,43.86,13.13,1
1773927743,87.04,43.84,37.52,8.27,1
1773927723,96.82,50.75,48.72,7.52,1
1773927463,75.19,67.23,71.01,22.38,0
1773927617,104.69,58.8,40.05,13.81,1
1773927514,75.55,64.88,60.57,18.91,0
1773927594,77.44,68.9,67.87,25.42,0
1773927592,83.5,77.94,66.18,28.78,0
1773927588,76.26,81.36,57.31,31.23,0
1773927419,75.92,70.47,74.65,22.56,0
1773927531,73.05,78.69,54.45,22.12,0
1773927853,103.09,47.86,40.43,9.17,1
1773927514,72.7,75.27,55.57,31.14,0
1773927373,77.83,92.93,82.39,23.46,0
1773927366,66.67,86.32,68.1,29.44,0
1773927547,71.47,73.02,55.45,26.16,0
1773927805,97.74,48.13,44.76,12.24,1
1773927779,94.57,51.87,46.97,12.35,1
1773927772,97.87,45.59,36.13,13.57,1
1773927479,71.88,67.65,59.47,25.36,0
1773927440,78.94,73.33,58.85,26.87,0
1773927532,72.58,68.99,77.21,23.98,0
1773927743,103.32,64.24,46.53,10.8,1
1773927791,99.32,48.82,44.39,11.57,1
1773927596,73.43,78.42,59.79,23.83,0
1773927765,104.12,59.14,42.31,13.26,1
1773927598,80.49,81.88,63.8,24.13,0
1773927697,103.53,62.2,46.27,12.78,1
1773927692,97.74,62.21,41.5,13.73,1
1773927392,80.05,77.15,65.48,30.32,0
1773927556,80.21,72.91,77.35,30.81,0
1773927378,75.96,90.94,52.11,33.34,0
1773927389,79.8,70.74,57.8,28.35,0
1773927345,72.88,78.52,53.1,27.62,0
1773927649,96.92,61.03,49.88,10.7,1
1773927745,95.54,57.7,47.62,13.87,1
1773927594,68.12,77.29,64.24,20.15,0
1773927700,103.94,49.97,43.75,10,1
1773927861,95.8,66.78,44.51,8.2,1
1773927792,99.33,48.56,35.33,9.49,1
1773927657,87.04,50.25,35,7.62,1
1773927429,66.01,79,67.67,25.78,0
1773927628,97.8,51.3,46.34,9.27,1
1773927634,108.58,55.27,47.62,8.62,1
1773927554,70.32,83.46,66.15,25.42,0
1773927443,69.41,68.79,57.07,24.4,0
1773927434,75.17,68.39,71.94,28.94,0
1773927822,90.58,55.76,43.35,16.69,1
1773927663,100.32,51.49,46.23,9.77,1
1773927346,69.39,74.89,57.43,24.26,0
1773927489,76.95,81.06,61.26,25.62,0
1773927759,97.5,53.64,40.96,7.7,1
1773927655,94.83,55.35,43.72,11.28,1
1773927502,72.4,58.73,61.04,31.48,0
1773927666,105.24,50.1,41.58,11.11,1
1773927649,87.96,48.51,39.62,17.09,1
1773927580,77.37,69.66,51.12,22.75,0
1773927496,74.14,85.02,54.44,25.76,0
1773927706,90.22,57.78,41.97,9.95,1
1773927809,98.91,51.33,47.68,8.85,1
1773927346,73.32,69.57,69.95,19.45,0
1773927527,76.88,83.31,70.36,29.15,0
1773927399,72.86,78.64,62.72,24.88,0
1773927743,104.03,60.46,46.65,13.25,1
1773927752,98.95,59.09,35.81,10.61,1
1773927478,78.85,74.9,73.69,19.41,0
1773927625,100.21,57.24,46.98,8.56,1
1773927709,95.35,50.66,45.25,12.95,1
1773927498,81.66,72.41,72.43,24.77,0
1773927479,69,61.92,51.63,24.84,0
1773927479,75.89,72.51,71.06,24.33,0
1773927784,96.45,59.13,53.89,11.24,1
1773927632,97.97,59.05,45.47,7.07,1
1773927724,97.72,60.91,42.68,10.92,1
1773927525,65.46,69.71,69.7,24.71,0
1773927539,73.45,58.24,64.26,22.47,0
1773927792,99.41,52.28,50.96,15.1,1
1773927855,103.62,57.23,45.85,9.67,1
1773927870,98.77,59.75,40.94,11.32,1
1773927347,76,78.74,64.63,24.92,0
1773927554,74.55,84.48,63.18,22.19,0
1773927444,72.88,83.06,59.54,19.85,0
1773927513,75.39,82.53,60.59,18.89,0
1773927680,100.94,54.99,44.72,11.24,1
1773927536,82.28,71.26,72.18,24.66,0
1773927536,72.4,54.16,65.12,24.18,0
1773927502,62.29,74.3,74.85,35.94,0
1773927440,74.08,71.81,70.87,26.59,0
1773927811,100.52,49.27,46.18,10.32,1
1773927552,77.02,68.2,54.78,29.64,0
1773927386,71.24,68.62,61.02,21.38,0
1773927714,93.69,48.95,47.26,7.97,1
1773927614,86.67,60.74,46.97,14.18,1
1773927373,69.21,75.18,56.88,30.57,0
1773927813,98.42,55.94,46.39,12.8,1
1773927400,77.96,75.82,58.85,20.07,0
1773927556,81,68.53,67.6,26.86,0
1773927771,95.13,41.12,55.57,12.99,1
1773927690,97,49.28,40.83,7.98,1
1773927348,71.99,74.09,60.9,22.79,0
1773927711,99.31,55.24,39.52,13.71,1
1773927633,98.83,56.82,54.55,12.2,1
1773927599,72.61,63.82,72.54,28.1,0
1773927654,107.04,54.26,47.63,8.02,1
1773927608,71.05,81.31,65.54,22.86,0
1773927522,72.77,79.47,59.97,25.16,0
1773927550,82.52,79.41,73.9,19.86,0
1773927402,68.66,64.51,57.88,22.4,0
1773927641,100.59,53.91,55,6.11,1
1773927612,98.43,62.18,45.03,7.35,1
1773927708,99.94,73.79,37.88,14.85,1
1773927802,99.84,50.45,45.81,12.48,1
1773927493,73.05,75.03,59.59,28.22,0
