timestamp,bpm,sdnn,rmssd,pnn50,label
1773755486.9539921,64.3,149.93,269.84,87.5,0
1773755486.9804125,64.83,147.93,249.95,87.5,0
1773755486.9944053,73.88,205.48,234.81,77.78,0
1773755487.0094295,73.88,205.48,234.81,77.78,0
1773755487.043558,65.11,141.65,242.28,87.5,0
1773755487.0555465,65.39,135.97,235.07,87.5,0
1773755487.1105754,74.11,198.47,227.37,77.78,0
1773755487.123563,74.11,198.47,227.37,77.78,0
1773755487.173476,74.11,198.47,227.37,77.78,0
1773755487.1984956,74.11,198.47,227.37,77.78,0
1773755487.2375557,78.07,225.05,318.4,80.0,0
1773755487.3159902,74.11,198.47,227.37,77.78,0
1773755487.3407407,76.86,207.31,215.09,80.0,0
1773755487.355416,76.86,207.31,215.09,80.0,0
1773755487.3872874,76.55,212.37,221.23,80.0,0
1773755487.4003856,75.78,203.68,224.89,80.0,0
1773755487.449062,76.93,217.48,220.57,70.0,0
1773755487.4681797,77.24,212.48,214.41,70.0,0
1773755487.5095425,76.93,217.48,220.57,70.0,0
1773755487.5298715,76.55,212.37,221.23,80.0,0
1773755487.5758607,75.24,179.96,224.01,80.0,0
1773755487.6063972,76.86,207.31,215.09,80.0,0
1773755487.660234,76.86,207.31,215.09,80.0,0
1773755487.6774797,77.47,198.26,204.01,80.0,0
1773755487.7215676,80.77,176.99,176.61,70.0,0
1773755487.7355556,77.72,161.26,209.96,70.0,0
1773755487.7780082,81.11,177.51,177.1,70.0,0
1773755487.7893562,80.57,186.48,187.29,77.78,0
1773755487.8477094,79.17,181.31,182.68,80.0,0
1773755487.8685544,79.17,181.31,182.68,80.0,0
1773755487.9137106,81.58,180.19,170.75,72.73,0
1773755487.9273791,81.02,175.74,172.69,81.82,0
1773755487.9692287,82.08,181.58,178.99,80.0,0
1773755487.9822423,81.82,180.16,180.39,80.0,0
1773755488.0505917,80.57,186.48,187.29,77.78,0
1773755488.07236,80.57,186.48,187.29,77.78,0
1773755488.1178367,80.72,182.39,200.49,70.0,0
1773755488.1332877,82.08,181.58,178.99,80.0,0
1773755488.1849666,81.82,180.16,180.39,80.0,0
1773755488.2025833,79.6,179.01,205.51,80.0,0
